က,k
အိပ်ငိုက်,ʔeɪʔŋokɛʔ
အိပ်ငွေ့ချ,ʔeɪʔŋəwet͡ɕʰ
အိပ်စက်,ʔeɪʔsəkɛʔ
အိပ်စင်,ʔeɪʔsɪɴ
အိပ်ဆတ်,ʔeɪʔsʰaʔ
အိပ်ဆေး,ʔeɪʔsʰe
အိပ်ဆောင်,ʔeɪʔsʰaʊɴ
အိပ်တန်း,ʔeɪʔtaɴ
အိပ်တန်းတက်,ʔeɪʔtaɴtəkɛʔ
အိပ်နိုးစုံမွှား,ʔeɪʔnosoʊɴməwှa
အိပ်ပျက်,ʔeɪʔpəjkɛʔ
အိပ်ပျော်,ʔeɪʔpəjaʊʔ
အိပ်ပျော်ဆေး,ʔeɪʔpəjaʊʔsʰe
အိပ်ဖန်စောင့်,ʔeɪʔpʰaɴsaʊɴ
အိပ်ဖန်သား,ʔeɪʔpʰaɴθa
အိပ်ဖော်အိပ်ဘက်,ʔeɪʔpʰaʊʔʔeɪʔbəkɛʔ
အိပ်မက်,ʔeɪʔməkɛʔ
အိပ်မက်ခြင်း,ʔeɪʔməkɛʔt͡ɕʰɪɴ
အိပ်မက်တိတ္ထုံ,ʔeɪʔməkɛʔtitə္tʰoʊɴ
အိပ်မက်ပေး,ʔeɪʔməkɛʔpe
အိပ်မက်မက်,ʔeɪʔməkɛʔməkɛʔ
အိပ်မက်မြင်,ʔeɪʔməkɛʔməjɪɴ
အိပ်မက်ရ,ʔeɪʔməkɛʔj
အိပ်မှိန်းကျ,ʔeɪʔm̥eɪɴt͡ɕ
အိပ်မှုန်စုံမွှား,ʔeɪʔm̥oʊɴsoʊɴməwှa
အိပ်မောကျ,ʔeɪʔmɔt͡ɕ
အိပ်မွေ့,ʔeɪʔməwe
အိပ်မွေ့ချ,ʔeɪʔməwet͡ɕʰ
အိပ်မွေ့ဆေး,ʔeɪʔməwesʰe
အိပ်မွေ့ပင်,ʔeɪʔməwepɪɴ
အိပ်ရာ,ʔeɪʔja
အိပ်ရာခင်း,ʔeɪʔjakʰɪɴ
အိပ်ရာထ,ʔeɪʔjatʰ
အိပ်ရာပြင်,ʔeɪʔjapəjɪɴ
အိပ်ရာလိပ်,ʔeɪʔjaleɪʔ
အိပ်ရာဝ,ʔeɪʔjaw
အိပ်ရာဝင်,ʔeɪʔjawɪɴ
အိပ်ရေး,ʔeɪʔje
အိပ်ရေးပျက်,ʔeɪʔjepəjkɛʔ
အိဗြက်,ʔibəjkɛʔ
အိဗြတ်စပါး,ʔibəjaʔsəpəါး
အိမ့်,ʔeɪɴ
အိမ့်တလိမ့်,ʔeɪɴtəleɪɴ
အိမ့်တလိမ့်စုန်း,ʔeɪɴtəleɪɴsoʊɴ
အိမ့်ရှင်,ʔeɪɴʃɪɴ
အိမ့်ရှင်စည်,ʔeɪɴʃɪɴsi
အိမ့်အိမ့်,ʔeɪɴʔeɪɴ
အိမ်,ʔeɪɴ
အိမ်း,ʔeɪɴ
အိမ်းအည်းမလုပ်,ʔeɪɴʔiməloʊʔ
အိမ်ကျယ်,ʔeɪɴt͡ɕɛ
အိမ်ကျောင်း,ʔeɪɴt͡ɕaʊɴ
အိမ်ကြက်,ʔeɪɴt͡ɕəkɛʔ
အိမ်ကြီးရခိုင်,ʔeɪɴt͡ɕijəkʰaɪɴ
အိမ်ကြီးရှင်,ʔeɪɴt͡ɕiʃɪɴ
အိမ်ကြီးအိမ်ကောင်း,ʔeɪɴt͡ɕiʔeɪɴkaʊɴ
အိမ်ကြွက်,ʔeɪɴt͡ɕəwkɛʔ
အိမ်ကုပ်,ʔeɪɴkoʊʔ
အိမ်ခန်း,ʔeɪɴkʰaɴ
အိမ်ခြေ,ʔeɪɴt͡ɕʰe
အိမ်ခြေရာခြေ,ʔeɪɴt͡ɕʰejat͡ɕʰe
အိမ်ခလောက်,ʔeɪɴkʰəlɔkɛʔ
အိမ်ခလောက်ဆွဲ,ʔeɪɴkʰəlɔkɛʔsʰəwɛ
အိမ်ခေါင်,ʔeɪɴkʰeါɪɴ
အိမ်ခွဲ,ʔeɪɴkʰəwɛ
အိမ်ငှါး,ʔeɪɴŋ̥əါး
အိမ်စသည်,ʔeɪɴsəθi
အိမ်စာ,ʔeɪɴsa
အိမ်စောင့်အစိုးရ,ʔeɪɴsaʊɴʔəsoj
အိမ်ဆင့်,ʔeɪɴsʰɪɴ
အိမ်ဆည်းလည်း,ʔeɪɴsʰili
အိမ်ဆိုင်,ʔeɪɴsʰaɪɴ
အိမ်ဆောက်,ʔeɪɴsʰɔkɛʔ
အိမ်တက်,ʔeɪɴtəkɛʔ
အိမ်တက်မင်္ဂလာ,ʔeɪɴtəkɛʔmɪɴ္ɡəla
အိမ်တစ်ဆောင်မီးတစ်ပြောင်,ʔeɪɴtɪʔsʰaʊɴmitɪʔpəjaʊɴ
အိမ်တန်းလမ်း,ʔeɪɴtaɴlaɴ
အိမ်တန်းလျား,ʔeɪɴtaɴləja
အိမ်တာကြေး,ʔeɪɴtat͡ɕe
အိမ်တိုင်ရာရောက်,ʔeɪɴtaɪɴjajɔkɛʔ
အိမ်တို်င်ရာရောက်,ʔeɪɴtaɪʔɪɴjajɔkɛʔ
အိမ်တောင်ချ,ʔeɪɴtaʊɴt͡ɕʰ
အိမ်တော်ပါ,ʔeɪɴtaʊʔpəါ
အိမ်တော်ရာထီး,ʔeɪɴtaʊʔjatʰi
အိမ်တွင်းနတ်,ʔeɪɴtəwɪɴnaʔ
အိမ်တွင်းပုန်း,ʔeɪɴtəwɪɴpoʊɴ
အိမ်တွင်းမှု,ʔeɪɴtəwɪɴm̥u
အိမ်တွင်းမှုသိပ္ပံ,ʔeɪɴtəwɪɴm̥uθipə္paɴ
အိမ်တွင်းရေး,ʔeɪɴtəwɪɴje
အိမ်ထောက်ကွဲ,ʔeɪɴtʰɔkɛʔkəwɛ
အိမ်ထောင်,ʔeɪɴtʰaʊɴ
အိမ်ထောင်ကျ,ʔeɪɴtʰaʊɴt͡ɕ
အိမ်ထောင်ကြီး,ʔeɪɴtʰaʊɴt͡ɕi
အိမ်ထောင်ခွဲ,ʔeɪɴtʰaʊɴkʰəwɛ
အိမ်ထောင်စု,ʔeɪɴtʰaʊɴsu
အိမ်ထောင်စုံ,ʔeɪɴtʰaʊɴsoʊɴ
အိမ်ထောင်ထူ,ʔeɪɴtʰaʊɴtʰu
အိမ်ထောင်ပစ္စည်း,ʔeɪɴtʰaʊɴpəsə္si
အိမ်ထောင်ပျက်,ʔeɪɴtʰaʊɴpəjkɛʔ
အိမ်ထောင်ပရိက္ခရာ,ʔeɪɴtʰaʊɴpəjikə္kʰəja
အိမ်ထောင်ပရိဘောဂ,ʔeɪɴtʰaʊɴpəjibɔɡ
အိမ်ထောင်ပြု,ʔeɪɴtʰaʊɴpəju
အိမ်ထောင်ဖက်,ʔeɪɴtʰaʊɴpʰəkɛʔ
အိမ်ထောင်ဘက်,ʔeɪɴtʰaʊɴbəkɛʔ
အိမ်ထောင်မှုရေး,ʔeɪɴtʰaʊɴm̥uje
အိမ်ထောင်ရက်သားကျ,ʔeɪɴtʰaʊɴjəkɛʔθat͡ɕ
အိမ်ထောင်ရေး,ʔeɪɴtʰaʊɴje
အိမ်ထောင်သက်,ʔeɪɴtʰaʊɴθəkɛʔ
အိမ်ထောင်သင့်,ʔeɪɴtʰaʊɴθɪɴ
အိမ်ထောင်သည်,ʔeɪɴtʰaʊɴθi
အိမ်ထောင်သားမွေး,ʔeɪɴtʰaʊɴθaməwe
အိမ်ထောင်ဦး,ʔeɪɴtʰaʊɴʔuး
အိမ်နိမ့်,ʔeɪɴneɪɴ
အိမ်နီးချင်း,ʔeɪɴnit͡ɕʰɪɴ
အိမ်နီးနားချင်း,ʔeɪɴninat͡ɕʰɪɴ
အိမ်ပစ်ရာပစ်,ʔeɪɴpɪʔjapɪʔ
အိမ်ပျော့,ʔeɪɴpəjɔ
အိမ်ပြေး,ʔeɪɴpəje
အိမ်ပိစပ်,ʔeɪɴpisaʔ
အိမ်ပိုင်ရာပိုင်,ʔeɪɴpaɪɴjapaɪɴ
အိမ်ပုဆစ်တုပ်,ʔeɪɴpusʰɪʔtoʊʔ
အိမ်ပေါက်ကျွန်း,ʔeɪɴpeါkɛʔt͡ɕʊɴ
အိမ်ပေါက်စေ့,ʔeɪɴpeါkɛʔse
အိမ်ဖြူပြတင်းရွှေချ,ʔeɪɴpʰəjupəjtɪɴjəwှet͡ɕʰ
အိမ်ဖုတ်,ʔeɪɴpʰoʊʔ
အိမ်ဖော်,ʔeɪɴpʰaʊʔ
အိမ်ဖွဲ့,ʔeɪɴpʰəwɛ
အိမ်မ,ʔeɪɴm
အိမ်မက်,ʔeɪɴməkɛʔ
အိမ်မြှောင်,ʔeɪɴməjှaʊɴ
အိမ်မြှောင်ဝပ်,ʔeɪɴməjှaʊɴwaʔ
အိမ်မြှောင်အိမ်,ʔeɪɴməjှaʊɴʔeɪɴ
အိမ်မြေရာ,ʔeɪɴməjeja
အိမ်မှုကိစ္စ,ʔeɪɴm̥ukisə္s
အိမ်မှူးခန်း,ʔeɪɴm̥ukʰaɴ
အိမ်မာ,ʔeɪɴma
အိမ်မိုး,ʔeɪɴmo
အိမ်မိုးခြင်တင်,ʔeɪɴmot͡ɕʰɪɴtɪɴ
အိမ်မဲ့ရာမဲ့,ʔeɪɴmɛjamɛ
အိမ်ရှင်,ʔeɪɴʃɪɴ
အိမ်ရှင်မ,ʔeɪɴʃɪɴm
အိမ်ရှေ့မင်း,ʔeɪɴʃemɪɴ
အိမ်ရှေ့မိဖုရား,ʔeɪɴʃemipʰuja
အိမ်ရာ,ʔeɪɴja
အိမ်ရာချ,ʔeɪɴjat͡ɕʰ
အိမ်ရာထောင်,ʔeɪɴjatʰaʊɴ
အိမ်ရာမှား,ʔeɪɴjam̥a
အိမ်ရိပ်,ʔeɪɴjeɪʔ
အိမ်လည်,ʔeɪɴli
အိမ်လုံးချမ်းသာပင်,ʔeɪɴloʊɴt͡ɕʰaɴθapɪɴ
အိမ်သင့်,ʔeɪɴθɪɴ
အိမ်သည်,ʔeɪɴθi
အိမ်သာ,ʔeɪɴθa
အိမ်သား,ʔeɪɴθa
အိမ်သိမ်းပွဲ,ʔeɪɴθeɪɴpəwɛ
အိမ်သုံးစရိတ်,ʔeɪɴθoʊɴsəjeɪʔ
အိမ်သုံးဆေး,ʔeɪɴθoʊɴsʰe
အိမ်သူ,ʔeɪɴθu
အိမ်သူအိမ်သား,ʔeɪɴθuʔeɪɴθa
အိမ်အုပ်,ʔeɪɴʔoʊʔ
အိမ်ဦး,ʔeɪɴʔuး
အိမ်ဦးခန်း,ʔeɪɴʔuးkʰaɴ
အိမ်ဦးခုံ,ʔeɪɴʔuးkʰoʊɴ
အိမ်ဦးနတ်,ʔeɪɴʔuးnaʔ
အို,ʔo
အိုး,ʔo
အိုးကင်း,ʔokɪɴ
အိုးကင်းတပ်,ʔokɪɴtaʔ
အိုးကင်းပက်,ʔokɪɴpəkɛʔ
အိုးကင်းပူတိုက်,ʔokɪɴputokɛʔ
အိုးကင်းပဲ့,ʔokɪɴpɛ
အိုးကပ်,ʔokaʔ
အိုးကြမ်း,ʔot͡ɕaɴ
အိုးကောက်,ʔokɔkɛʔ
အိုးခြမ်းကွဲ,ʔot͡ɕʰaɴkəwɛ
အိုးခြေအိမ်ခြေ,ʔot͡ɕʰeʔeɪɴt͡ɕʰe
အိုးခွက်,ʔokʰəwkɛʔ
အိုးခွဲ,ʔokʰəwɛ
အိုးခွဲစား,ʔokʰəwɛsa
အိုးစည်,ʔosi
အိုးစည်ဗုံမောင်း,ʔosiboʊɴmaʊɴ
အိုးစရည်း,ʔosəji
အိုးစား,ʔosa
အိုးစားကွဲ,ʔosakəwɛ
အိုးစားခွဲ,ʔosakʰəwɛ
အိုးစားငယ်,ʔosaŋɛ
အိုးစိမ်,ʔoseɪɴ
အိုးစောင်းခြမ်း,ʔosaʊɴt͡ɕʰaɴ
အိုးစောင်ခြမ်း,ʔosaʊɴt͡ɕʰaɴ
အိုးစွပ်ခွက်စွပ်စား,ʔosʊʔkʰəwkɛʔsʊʔsa
အိုးစွပ်စား,ʔosʊʔsa
အိုးတည်နစ်,ʔotinɪʔ
အိုးတန်,ʔotaɴ
အိုးတန်ဆန်ခတ်,ʔotaɴsʰaɴkʰaʔ
အိုးတိုးအင့်တင့်,ʔotoʔɪɴtɪɴ
အိုးတိုးအတ,ʔotoʔət
အိုးတိုးအမ်းတမ်း,ʔotoʔaɴtaɴ
အိုးတုတ်,ʔotoʊʔ
အိုးတုတ်ကြီး,ʔotoʊʔt͡ɕi
အိုးထိန်း,ʔotʰeɪɴ
အိုးထိန်းစက်,ʔotʰeɪɴsəkɛʔ
အိုးထိန်းပင်,ʔotʰeɪɴpɪɴ
အိုးထိန်းသည်,ʔotʰeɪɴθi
အိုးနင်းခွက်နင်း,ʔonɪɴkʰəwkɛʔnɪɴ
အိုးနားကုပ်,ʔonakoʊʔ
အိုးနားတို,ʔonato
အိုးပစ်မကွဲ,ʔopɪʔməkəwɛ
အိုးပစ်အိမ်ပစ်,ʔopɪʔʔeɪɴpɪʔ
အိုးပျက်အိမ်ပျက်,ʔopəjkɛʔʔeɪɴpəjkɛʔ
အိုးပျစ်,ʔopəjɪʔ
အိုးပြွတ်,ʔopəjʊʔ
အိုးပုတ်,ʔopoʊʔ
အိုးပုတ်ပင်,ʔopoʊʔpɪɴ
အိုးဖို,ʔopʰo
အိုးမင်းမစွမ်း,ʔomɪɴməsʊɴ
အိုးမင်းရင့်ရော်,ʔomɪɴjɪɴjaʊʔ
အိုးမစပ်ခွက်မစပ်,ʔoməsaʔkʰəwkɛʔməsaʔ
အိုးမည်း,ʔomi
အိုးမြေ,ʔoməje
အိုးမဲ,ʔomɛ
အိုးမဲသုတ်,ʔomɛθoʊʔ
အိုးလည်ကောက်,ʔolikɔkɛʔ
အိုးလုပ်,ʔoloʊʔ
အိုးသစ်အိမ်သစ်,ʔoθɪʔʔeɪɴθɪʔ
အိုးသည်,ʔoθi
အိုးသူကြီး,ʔoθut͡ɕi
အိုးအင်,ʔoʔɪɴ
အိုးအင်ခွက်ယောက်,ʔoʔɪɴkʰəwkɛʔjɔkɛʔ
အိုးအိမ်,ʔoʔeɪɴ
အိုးအိမ်ထူ,ʔoʔeɪɴtʰu
အိုးအုံ,ʔoʔoʊɴ
အိုးေ,ʔoe
အိုကြီးအိုမ,ʔot͡ɕiʔom
အိုက်,ʔokɛʔ
အိုက်ခကရင်,ʔokɛʔkʰəkəjɪɴ
အိုက်စပ်,ʔokɛʔsaʔ
အိုက်စပ်စပ်,ʔokɛʔsaʔsaʔ
အိုက်စပ်ပူလောင်,ʔokɛʔsaʔpulaʊɴ
အိုက်တင်,ʔokɛʔtɪɴ
အိုင့်,ʔaɪɴ
အိုင့်ကျယ်,ʔaɪɴt͡ɕɛ
အိုင့်ကောင်း,ʔaɪɴkaʊɴ
အိုင်,ʔaɪɴ
အိုင်း,ʔaɪɴ
အိုင်းကျ,ʔaɪɴt͡ɕ
အိုင်းခနဲ,ʔaɪɴkʰənɛ
အိုင်းနာ,ʔaɪɴna
အိုင်းအမာ,ʔaɪɴʔəma
အိုင်ကျင်းဖွဲ့,ʔaɪɴt͡ɕɪɴpʰəwɛ
အိုင်ချင်း,ʔaɪɴt͡ɕʰɪɴ
အိုင်ထွန်း,ʔaɪɴtʰʊɴ
အိုင်အိုင်,ʔaɪɴʔaɪɴ
အိုင်အိုဒင်း,ʔaɪɴʔodɪɴ
အိုစနာ,ʔosəna
အိုစာ,ʔosa
အိုစာနာစာ,ʔosanasa
အိုဇာတာ,ʔozata
အိုဇုန်း,ʔozoʊɴ
အိုတာ,ʔota
အိုနာကျိုးကန်း,ʔonat͡ɕokaɴ
အိုနာစာ,ʔonasa
အိုနာစာရန်ပုံငွေ,ʔonasajaɴpoʊɴŋəwe
အိုဗာစီယာ,ʔobasija
အိုဗာတိုင်,ʔobataɪɴ
အိုဗာဟော,ʔobahɔ
အိုဘဲ့,ʔobɛ
အိုမင်း,ʔomɪɴ
အိုမင်းမစွမ်း,ʔomɪɴməsʊɴ
အိုရွမ်း,ʔojʊɴ
အိုလံပစ်,ʔolaɴpɪʔ
အိုအေစစ်,ʔoʔesɪʔ
အီ,ʔi
အီး,ʔi
အီးပါ,ʔipəါ
အီးပေါက်,ʔipeါkɛʔ
အီးရောအီးရော,ʔijɔʔijɔ
အီကြာကွေး,ʔit͡ɕakəwe
အီကွေတာ,ʔikəweta
အီလက်ထရွန်,ʔiləkɛʔtʰəjʊɴ
အီလက်ထရွန်နစ်,ʔiləkɛʔtʰəjʊɴnɪʔ
အီလည်လည်,ʔilili
အီလေးဆွဲ,ʔilesʰəwɛ
အီလေးအာလေး,ʔileʔale
အီသာ,ʔiθa
အုံ,ʔoʊɴ
အုံ့,ʔoʊɴ
အုံ့ဆိုင်း,ʔoʊɴsʰaɪɴ
အုံ့ပျ,ʔoʊɴpəj
အုံ့ပုန်း,ʔoʊɴpoʊɴ
အုံ့ပုန်းတစ်လစ်,ʔoʊɴpoʊɴtɪʔlɪʔ
အုံ့မှိုင်း,ʔoʊɴm̥aɪɴ
အုံး,ʔoʊɴ
အုံးကွဲ,ʔoʊɴkəwɛ
အုံးခိုက်ပြီးခိုက်လိုက်,ʔoʊɴkʰokɛʔpəjikʰokɛʔlokɛʔ
အုံးခု,ʔoʊɴkʰu
အုံးတား,ʔoʊɴta
အုံးတုံး,ʔoʊɴtoʊɴ
အုံးလွဲ,ʔoʊɴləwɛ
အုံးဝန်း,ʔoʊɴwaɴ
အုံးအိပ်ရာယှဉ်တွဲ၍အိပ်,ʔoʊɴʔeɪʔjaʃɪɴtəwɛ၍ʔeɪʔ
အုံကြွ,ʔoʊɴt͡ɕəw
အုံဆေး,ʔoʊɴsʰe
အုံတုံ,ʔoʊɴtoʊɴ
အုံတုံတုံ,ʔoʊɴtoʊɴtoʊɴ
အုံတုံပင်,ʔoʊɴtoʊɴpɪɴ
အုံပွင့်,ʔoʊɴpəwɪɴ
အုံဖွဲ,ʔoʊɴpʰəwɛ
အုံအုံသောင်းသောင်း,ʔoʊɴʔoʊɴθaʊɴθaʊɴ
အုံအုံသဲသဲ,ʔoʊɴʔoʊɴθɛθɛ
အုတ်,ʔoʊʔ
အုတ်ကျင်း,ʔoʊʔt͡ɕɪɴ
အုတ်ကျိုးမှုန့်,ʔoʊʔt͡ɕom̥oʊɴ
အုတ်ကျိုးအုတ်ပဲ့,ʔoʊʔt͡ɕoʔoʊʔpɛ
အုတ်ကြားမြက်ပေါက်,ʔoʊʔt͡ɕaməjkɛʔpeါkɛʔ
အုတ်ကြွပ်,ʔoʊʔt͡ɕʊʔ
အုတ်ကြွပ်ခုံး,ʔoʊʔt͡ɕʊʔkʰoʊɴ
အုတ်ကြွပ်တန်း,ʔoʊʔt͡ɕʊʔtaɴ
အုတ်ကြွပ်ဒဝယ်ညှင်း,ʔoʊʔt͡ɕʊʔdəwɛɲ̥ɪɴ
အုတ်ကြွပ်မိုး,ʔoʊʔt͡ɕʊʔmo
အုတ်ကောတရ,ʔoʊʔkɔtəj
အုတ်ခင်း,ʔoʊʔkʰɪɴ
အုတ်ခနဲ,ʔoʊʔkʰənɛ
အုတ်ချပ်,ʔoʊʔt͡ɕʰaʔ
အုတ်ခုံ,ʔoʊʔkʰoʊɴ
အုတ်ခဲ,ʔoʊʔkʰɛ
အုတ်ခွက်,ʔoʊʔkʰəwkɛʔ
အုတ်ခွက်ဘုရား,ʔoʊʔkʰəwkɛʔbuja
အုတ်ဂူ,ʔoʊʔɡu
အုတ်တိုက်,ʔoʊʔtokɛʔ
အုတ်ထွေ,ʔoʊʔtʰəwe
အုတ်နီခဲ,ʔoʊʔnikʰɛ
အုတ်ပူထိုး,ʔoʊʔputʰo
အုတ်ဖိနပ်,ʔoʊʔpʰinaʔ
အုတ်ဖို,ʔoʊʔpʰo
အုတ်မြစ်,ʔoʊʔməjɪʔ
အုတ်မြစ်ချ,ʔoʊʔməjɪʔt͡ɕʰ
အုတ်မြို့,ʔoʊʔməjo
အုတ်ရှပ်ခဲ,ʔoʊʔʃaʔkʰɛ
အုတ်ရိုး,ʔoʊʔjo
အုတ်ြမစ်,ʔoʊʔjmɪʔ
အုတ်လွှာ,ʔoʊʔləwှa
အုတ်သရိုး,ʔoʊʔθəjo
အုတ်အာ,ʔoʊʔʔa
အုတ်အားသောင်းသဲ,ʔoʊʔʔaθaʊɴθɛ
အုတ်အာသရဲ,ʔoʊʔʔaθəjɛ
အုတ်အာသောင်းသဲ,ʔoʊʔʔaθaʊɴθɛ
အုတ်အုတ်ကျက်ကျက်,ʔoʊʔʔoʊʔt͡ɕəkɛʔt͡ɕəkɛʔ
အုတ်အုတ်ကျွတ်ကျွတ်,ʔoʊʔʔoʊʔt͡ɕʊʔt͡ɕʊʔ
အုတ်အုတ်သဲသဲ,ʔoʊʔʔoʊʔθɛθɛ
အုတ်အော်သောင်းတင်း,ʔoʊʔʔaʊʔθaʊɴtɪɴ
အုတ်အော်သောင်းနင်း,ʔoʊʔʔaʊʔθaʊɴnɪɴ
အုတ်အော်သောင်းသဲ,ʔoʊʔʔaʊʔθaʊɴθɛ
အုနး်ဆံဖတ်,ʔunəးɛʔsʰaɴpʰaʔ
အုန်,ʔoʊɴ
အုန်း,ʔoʊɴ
အုန်းကဏန်း,ʔoʊɴkənaɴ
အုန်းခနဲ,ʔoʊɴkʰənɛ
အုန်းခြစ်,ʔoʊɴt͡ɕʰɪʔ
အုန်းခုတ်ပွဲ,ʔoʊɴkʰoʊʔpəwɛ
အုန်းခွံ,ʔoʊɴkʰəwaɴ
အုန်းခွံရောင်,ʔoʊɴkʰəwaɴjaʊɴ
အုန်းငှက်ပျော,ʔoʊɴŋ̥əkɛʔpəjɔ
အုန်းဆံ,ʔoʊɴsʰaɴ
အုန်းဆံကြိုး,ʔoʊɴsʰaɴt͡ɕo
အုန်းဆံခြည်ထွေး,ʔoʊɴsʰaɴt͡ɕʰitʰəwe
အုန်းဆံထု,ʔoʊɴsʰaɴtʰu
အုန်းဆန်,ʔoʊɴsʰaɴ
အုန်းဆန်ချည်ထွေး,ʔoʊɴsʰaɴt͡ɕʰitʰəwe
အုန်းဆီ,ʔoʊɴsʰi
အုန်းတံမြက်စည်း,ʔoʊɴtaɴməjkɛʔsi
အုန်းတော,ʔoʊɴtɔ
အုန်းထန်းလျက်,ʔoʊɴtʰaɴləjkɛʔ
အုန်းထမင်း,ʔoʊɴtʰəmɪɴ
အုန်းထောပတ်,ʔoʊɴtʰɔpaʔ
အုန်းနှောက်,ʔoʊɴn̥ɔkɛʔ
အုန်းနို့,ʔoʊɴno
အုန်းနို့ခေါက်ဆွဲ,ʔoʊɴnokʰeါkɛʔsʰəwɛ
အုန်းနို့ဆမ်း,ʔoʊɴnosʰaɴ
အုန်းနို့ထမင်း,ʔoʊɴnotʰəmɪɴ
အုန်းပင်,ʔoʊɴpɪɴ
အုန်းပင်စိုက်,ʔoʊɴpɪɴsokɛʔ
အုန်းပနီ,ʔoʊɴpəni
အုန်းပနီပင်,ʔoʊɴpənipɪɴ
အုန်းပိုး,ʔoʊɴpo
အုန်းဖွဲ,ʔoʊɴpʰəwɛ
အုန်းဖွဲ့,ʔoʊɴpʰəwɛ
အုန်းဖွဲပင်,ʔoʊɴpʰəwɛpɪɴ
အုန်းမှန်ကူ,ʔoʊɴm̥aɴku
အုန်းမှုတ်,ʔoʊɴm̥oʊʔ
အုန်းမှုတ်ခွက်,ʔoʊɴm̥oʊʔkʰəwkɛʔ
အုန်းမှုတ်တယော,ʔoʊɴm̥oʊʔtəjɔ
အုန်းမောင်း,ʔoʊɴmaʊɴ
အုန်းမောင်းခေါက်,ʔoʊɴmaʊɴkʰeါkɛʔ
အုန်းရည်,ʔoʊɴji
အုန်းလက်,ʔoʊɴləkɛʔ
အုန်းလက်ချ,ʔoʊɴləkɛʔt͡ɕʰ
အုန်းလေးဖက်ချ,ʔoʊɴlepʰəkɛʔt͡ɕʰ
အုန်းလေးဖက်ခေါင်,ʔoʊɴlepʰəkɛʔkʰeါɪɴ
အုန်းလေးဖက်ခေါင်မိုး,ʔoʊɴlepʰəkɛʔkʰeါɪɴmo
အုန်းသီး,ʔoʊɴθi
အုန်းသီးဆန်,ʔoʊɴθisʰaɴ
အုန်းသီးဆန်ခြောက်,ʔoʊɴθisʰaɴt͡ɕʰɔkɛʔ
အုန်းသီးမှုန့်,ʔoʊɴθim̥oʊɴ
အုန်းအင်းသံ,ʔoʊɴʔɪɴθaɴ
အုန်းအုန်းကျက်ကျက်,ʔoʊɴʔoʊɴt͡ɕəkɛʔt͡ɕəkɛʔ
အုန်းအုန်းကျွက်ကျွက်,ʔoʊɴʔoʊɴt͡ɕəwkɛʔt͡ɕəwkɛʔ
အုန်းအုန်းကျွတ်ကျွတ်,ʔoʊɴʔoʊɴt͡ɕʊʔt͡ɕʊʔ
အုန်းအုန်းအင်းအင်း,ʔoʊɴʔoʊɴʔɪɴʔɪɴ
အုန်းဧကမုခ်,ʔoʊɴʔekəmukʰɛʔ
အုန်အောက်,ʔoʊɴʔɔkɛʔ
အုပ်,ʔoʊʔ
အုပ်ကွက်,ʔoʊʔkəwkɛʔ
အုပ်ကွပ်,ʔoʊʔkʊʔ
အုပ်ခက်,ʔoʊʔkʰəkɛʔ
အုပ်ချုပ်,ʔoʊʔt͡ɕʰoʊʔ
အုပ်ခြုံ,ʔoʊʔt͡ɕʰoʊɴ
အုပ်စည်းမပျက်,ʔoʊʔsiməpəjkɛʔ
အုပ်စား,ʔoʊʔsa
အုပ်စိုး,ʔoʊʔso
အုပ်စီး,ʔoʊʔsi
အုပ်စီးနွား,ʔoʊʔsinəwa
အုပ်စီးမပျက်,ʔoʊʔsiməpəjkɛʔ
အုပ်စု,ʔoʊʔsu
အုပ်စုံ,ʔoʊʔsoʊɴ
အုပ်ဆက်,ʔoʊʔsʰəkɛʔ
အုပ်ဆိုင်း,ʔoʊʔsʰaɪɴ
အုပ်ဆေး,ʔoʊʔsʰe
အုပ်ဆောင်း,ʔoʊʔsʰaʊɴ
အုပ်ဆောင်းပုံ,ʔoʊʔsʰaʊɴpoʊɴ
အုပ်ထိန်း,ʔoʊʔtʰeɪɴ
အုပ်ထိန်းသူ,ʔoʊʔtʰeɪɴθu
အုပ်ထုပ်,ʔoʊʔtʰoʊʔ
အုပ်ထွေ,ʔoʊʔtʰəwe
အုပ်ဒိုင်,ʔoʊʔdaɪɴ
အုပ်နှဲ,ʔoʊʔn̥ɛ
အုပ်ပေါင်း,ʔoʊʔpeါɪɴ
အုပ်မှင်,ʔoʊʔm̥ɪɴ
အုပ်မှည့်,ʔoʊʔm̥i
အုပ်မိ,ʔoʊʔmi
အုပ်မွှန်း,ʔoʊʔməwှaɴ
အုပ်ရှစ်,ʔoʊʔʃɪʔ
အုပ်လုံး,ʔoʊʔloʊɴ
အုပ်လုံးသိမ်း,ʔoʊʔloʊɴθeɪɴ
အုပ်လုံးသွင်း,ʔoʊʔloʊɴθəwɪɴ
အုပ်သျှောင်,ʔoʊʔθəjှaʊɴ
အုပ်အုပ်ဆိုင်းဆိုင်း,ʔoʊʔʔoʊʔsʰaɪɴsʰaɪɴ
အုပ်ဩ,ʔoʊʔʔɔ
အူ,ʔu
အူကျ,ʔut͡ɕ
အူကြမ်း,ʔut͡ɕaɴ
အူကြောင်း,ʔut͡ɕaʊɴ
အူကြောင်ကြောင်,ʔut͡ɕaʊɴt͡ɕaʊɴ
အူကြောင်ကြောင်ဖြစ်,ʔut͡ɕaʊɴt͡ɕaʊɴpʰəjɪʔ
အူချဉ်,ʔut͡ɕʰɪɴ
