က,k
ကတ္တားချိန်,kətə္tat͡ɕʰeɪɴ
ကတ္တားခြား,kətə္tat͡ɕʰa
ကတ္တီပါ,kətə္tipəါ
ကတ္တုကမည်း,kətə္tukəmi
ကတ္တူ,kətə္tu
ကတ္တူလှေ,kətə္tuɬe
ကတ်,kaʔ
ကတ်ကြေး,kaʔt͡ɕe
ကတ်ကြေးကိုက်မှန်,kaʔt͡ɕekokɛʔm̥aɴ
ကတ်ကြေးကိုက်မုန့်,kaʔt͡ɕekokɛʔmoʊɴ
ကတ်ကြေးကိုက်သူခိုး,kaʔt͡ɕekokɛʔθukʰo
ကတ်ကြေးစာ,kaʔt͡ɕesa
ကတ်ကုတ်,kaʔkoʊʔ
ကတ်ကော်,kaʔkaʊʔ
ကတ်ကော်တကာ,kaʔkaʊʔtəka
ကတ်တီးကတ်ဖဲ့,kaʔtikaʔpʰɛ
ကတ်တွက်,kaʔtəwkɛʔ
ကတ်ထူဖုံး,kaʔtʰupʰoʊɴ
ကတ်ပြား,kaʔpəja
ကတ်ပြားစက္ကူ,kaʔpəjasəkə္ku
ကတ်ဖိုးကတ်ဖဲ့,kaʔpʰokaʔpʰɛ
ကတ်ဖိုကတ်မပင်,kaʔpʰokaʔməpɪɴ
ကတ်ဖဲ့,kaʔpʰɛ
ကတ်ဖဲ့လုပ်,kaʔpʰɛloʊʔ
ကတ်လတ်,kaʔlaʔ
ကတ်သတ်,kaʔθaʔ
ကတ်သီးကတ်သတ်,kaʔθikaʔθaʔ
ကတွင်းပေါက်,kətəwɪɴpeါkɛʔ
ကတွတ်,kətʊʔ
ကတွတ်ပင်,kətʊʔpɪɴ
ကတွတ်ပေါက်,kətʊʔpeါkɛʔ
ကတွတ်မုန့်,kətʊʔmoʊɴ
ကတွေး,kətəwe
ကထကရ,kətʰəkəj
ကထိက,kətʰik
ကထိကပါး,kətʰikəpəါး
ကထိကရိ,kətʰikəji
ကထိကဝတ်,kətʰikəwaʔ
ကထိန်,kətʰeɪɴ
ကထိန်ခင်း,kətʰeɪɴkʰɪɴ
ကထိန်ပွဲ,kətʰeɪɴpəwɛ
ကထိန်သင်္ကန်း,kətʰeɪɴθɪɴ္kaɴ
ကဒတ်,kədaʔ
